epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4653,2.26023,3.31407,2.04906,0.40913,0.25675,0.15726,0.0609,2.56875,3.45333,2.68403,0.000412234,0.000412234,0.000412234
2,108.63,2.25291,2.66732,2.08195,0.307,0.22103,0.19167,0.06594,2.6274,5.48098,2.71627,0.000820695,0.000820695,0.000820695
3,161.21,2.27953,2.6672,2.14219,0.78975,0.18974,0.24861,0.1049,2.36781,2.64219,2.32961,0.00122091,0.00122091,0.00122091
4,213.812,2.21418,2.5381,2.08776,0.45924,0.22415,0.23351,0.09202,2.33353,3.09444,2.42474,0.00121287,0.00121287,0.00121287
5,265.135,2.2066,2.49265,2.06767,0.66656,0.2564,0.22651,0.08701,2.37711,2.6537,2.38466,0.0012005,0.0012005,0.0012005
6,316.462,2.15405,2.38063,2.04236,0.62184,0.39298,0.39049,0.16324,2.0836,2.38327,2.18053,0.00118812,0.00118812,0.00118812
7,369.933,2.15836,2.34279,2.031,0.504,0.46525,0.45088,0.19893,2.12772,2.49334,2.11542,0.00117575,0.00117575,0.00117575
8,423.182,2.13986,2.29466,2.02412,0.78467,0.35863,0.47902,0.21642,2.05012,1.87188,2.11958,0.00116337,0.00116337,0.00116337
9,475.198,2.10391,2.24417,2.00032,0.5027,0.32088,0.43713,0.19576,2.06251,1.92676,2.13906,0.001151,0.001151,0.001151
10,526.709,2.0889,2.22374,1.97263,0.50705,0.55021,0.49995,0.20495,2.09395,1.93913,2.08078,0.00113863,0.00113863,0.00113863
11,578.421,2.07057,2.15206,1.96756,0.77092,0.38172,0.55682,0.24109,2.11687,1.76111,2.12754,0.00112625,0.00112625,0.00112625
12,635.479,2.04857,2.11522,1.96206,0.50306,0.52711,0.536,0.21097,2.1278,1.82784,2.11357,0.00111388,0.00111388,0.00111388
13,687.586,2.02994,2.04307,1.9374,0.68784,0.45836,0.5245,0.21777,2.05589,1.82736,2.10387,0.0011015,0.0011015,0.0011015
14,738.987,2.00461,2.00824,1.92204,0.62698,0.5789,0.61543,0.25369,1.99181,1.75717,2.01532,0.00108913,0.00108913,0.00108913
15,791.977,2.00764,2.01791,1.93543,0.59556,0.61568,0.61524,0.29161,2.06293,1.66338,2.10177,0.00107675,0.00107675,0.00107675
16,844.47,1.98285,1.95283,1.91635,0.56363,0.51165,0.55653,0.27403,2.04812,1.61775,2.0375,0.00106437,0.00106437,0.00106437
17,897.113,1.98012,1.94237,1.90298,0.64902,0.46975,0.56085,0.25441,2.04532,1.70979,2.08631,0.001052,0.001052,0.001052
18,948.458,1.969,1.91367,1.88578,0.57025,0.59466,0.64247,0.28051,2.0025,1.67185,2.00756,0.00103962,0.00103962,0.00103962
19,1000.6,1.9626,1.90143,1.8972,0.52912,0.61335,0.62391,0.30723,2.00565,1.58726,1.9912,0.00102725,0.00102725,0.00102725
20,1053.15,1.9537,1.85983,1.88592,0.63188,0.69869,0.72172,0.34776,1.9086,1.48632,1.97562,0.00101488,0.00101488,0.00101488
21,1106.61,1.96081,1.88914,1.89925,0.67873,0.67581,0.74437,0.33579,1.9683,1.4689,1.9884,0.0010025,0.0010025,0.0010025
22,1158.91,1.9641,1.81071,1.88544,0.4567,0.62589,0.63241,0.31015,2.00283,1.62115,1.97849,0.000990125,0.000990125,0.000990125
23,1210.55,1.92227,1.81572,1.85124,0.90183,0.54433,0.74387,0.35741,1.91388,1.42298,1.96034,0.00097775,0.00097775,0.00097775
24,1262.99,1.93034,1.78286,1.85855,0.69511,0.69526,0.7697,0.36751,1.88382,1.40734,1.93835,0.000965375,0.000965375,0.000965375
25,1315.13,1.91594,1.72793,1.84575,0.65938,0.69757,0.76856,0.3573,2.00226,1.37302,1.97505,0.000953,0.000953,0.000953
26,1366.4,1.90874,1.74938,1.85238,0.70481,0.72784,0.72534,0.31253,2.01493,1.46912,2.02921,0.000940625,0.000940625,0.000940625
27,1418.59,1.8797,1.70484,1.83701,0.71339,0.69939,0.76051,0.35644,1.94282,1.40684,1.98975,0.00092825,0.00092825,0.00092825
28,1470,1.88329,1.69195,1.82854,0.79175,0.69816,0.77345,0.37395,1.95087,1.51744,1.98348,0.000915875,0.000915875,0.000915875
29,1526.41,1.86942,1.67468,1.82801,0.6896,0.76862,0.81301,0.41673,1.90395,1.31964,1.95129,0.0009035,0.0009035,0.0009035
30,1578.48,1.87933,1.64217,1.81295,0.75495,0.57588,0.72637,0.35855,1.96588,1.43303,1.95458,0.000891125,0.000891125,0.000891125
31,1630.1,1.87136,1.62277,1.81193,0.71525,0.69914,0.77715,0.36935,1.99459,1.30674,1.99723,0.00087875,0.00087875,0.00087875
32,1684.54,1.84196,1.58525,1.79902,0.75261,0.78275,0.83118,0.42806,2.03527,1.27758,2.00649,0.000866375,0.000866375,0.000866375
33,1737.38,1.84415,1.59055,1.80841,0.73206,0.73611,0.81114,0.43054,1.94592,1.28381,1.9778,0.000854,0.000854,0.000854
34,1789.72,1.8476,1.58234,1.8003,0.8209,0.63812,0.77252,0.40186,1.93116,1.28991,1.93022,0.000841625,0.000841625,0.000841625
35,1841.43,1.81563,1.56159,1.7807,0.85097,0.67851,0.85349,0.41899,1.88842,1.22023,1.89275,0.00082925,0.00082925,0.00082925
36,1892.65,1.82518,1.50473,1.78103,0.78346,0.79128,0.86451,0.44053,1.98508,1.1921,1.97776,0.000816875,0.000816875,0.000816875
37,1946.56,1.79173,1.49265,1.75334,0.81869,0.81201,0.85802,0.46387,1.9553,1.22016,1.94551,0.0008045,0.0008045,0.0008045
38,1998.79,1.78623,1.45422,1.75494,0.82353,0.8015,0.88006,0.45769,1.90094,1.22241,1.93752,0.000792125,0.000792125,0.000792125
39,2050.51,1.79538,1.4688,1.77051,0.85233,0.83122,0.89038,0.46461,1.84712,1.15539,1.88545,0.00077975,0.00077975,0.00077975
40,2102.74,1.76122,1.42983,1.72768,0.80531,0.7704,0.84888,0.44496,1.84318,1.18823,1.86774,0.000767375,0.000767375,0.000767375
41,2154.11,1.76122,1.43429,1.74107,0.84406,0.80018,0.87081,0.45696,1.93206,1.16095,1.97399,0.000755,0.000755,0.000755
42,2206.92,1.75094,1.41547,1.73754,0.84392,0.79,0.8702,0.46707,1.85271,1.16133,1.89235,0.000742625,0.000742625,0.000742625
43,2259.45,1.73188,1.40787,1.72775,0.67877,0.82678,0.83677,0.45727,1.8747,1.10237,1.91172,0.00073025,0.00073025,0.00073025
44,2311.03,1.72025,1.36966,1.73078,0.79216,0.85313,0.87696,0.49427,1.8776,1.19458,1.92991,0.000717875,0.000717875,0.000717875
45,2363.28,1.73401,1.3832,1.73972,0.80961,0.80151,0.86649,0.44302,1.89416,1.157,1.92943,0.0007055,0.0007055,0.0007055
46,2414.6,1.72236,1.3436,1.71698,0.84452,0.82507,0.87739,0.47333,1.865,1.10768,1.90481,0.000693125,0.000693125,0.000693125
47,2467.57,1.72041,1.33745,1.7109,0.83462,0.79074,0.88057,0.46934,1.8861,1.1162,1.87606,0.00068075,0.00068075,0.00068075
48,2519.12,1.70049,1.31926,1.69696,0.87446,0.75252,0.88098,0.46147,1.8522,1.11264,1.88287,0.000668375,0.000668375,0.000668375
49,2570.25,1.67594,1.29199,1.68802,0.84587,0.84616,0.8951,0.49911,1.84009,1.01943,1.86538,0.000656,0.000656,0.000656
50,2623.03,1.68935,1.31074,1.69931,0.87057,0.76082,0.87099,0.4666,1.82226,1.05595,1.87067,0.000643625,0.000643625,0.000643625
51,2674.4,1.68321,1.29101,1.7,0.87754,0.84195,0.88784,0.49308,1.84399,1.0583,1.87876,0.00063125,0.00063125,0.00063125
52,2728.63,1.65145,1.23601,1.6694,0.86445,0.82923,0.87484,0.47662,1.91149,1.0778,1.92389,0.000618875,0.000618875,0.000618875
53,2779.85,1.65012,1.24756,1.66628,0.76117,0.79045,0.82583,0.46324,1.86541,1.01067,1.87245,0.0006065,0.0006065,0.0006065
54,2831.08,1.62712,1.204,1.65523,0.88205,0.87362,0.93368,0.47619,1.8434,0.98925,1.88414,0.000594125,0.000594125,0.000594125
55,2882.51,1.62432,1.21683,1.65094,0.84321,0.87228,0.92892,0.50741,1.8155,0.92555,1.88289,0.00058175,0.00058175,0.00058175
56,2934.91,1.62134,1.21623,1.66101,0.90555,0.83936,0.9079,0.49589,1.8556,0.98636,1.90233,0.000569375,0.000569375,0.000569375
57,2991.12,1.62087,1.1657,1.64687,0.8985,0.8743,0.93759,0.54165,1.7414,0.92034,1.81262,0.000557,0.000557,0.000557
58,3046.55,1.61527,1.18106,1.63523,0.8713,0.80263,0.89331,0.48718,1.81674,1.01565,1.84697,0.000544625,0.000544625,0.000544625
59,3097.57,1.57681,1.13493,1.61064,0.89197,0.85644,0.92645,0.53578,1.88433,0.95049,1.91279,0.00053225,0.00053225,0.00053225
60,3148.91,1.58087,1.13124,1.61139,0.86848,0.90375,0.92775,0.53746,1.75236,0.95336,1.82201,0.000519875,0.000519875,0.000519875
61,3200.2,1.57692,1.14563,1.63313,0.84014,0.92543,0.93064,0.55881,1.76683,0.92221,1.86113,0.0005075,0.0005075,0.0005075
62,3257.77,1.54076,1.10566,1.58689,0.82152,0.91729,0.89588,0.52623,1.84849,0.97848,1.89731,0.000495125,0.000495125,0.000495125
63,3309.08,1.56607,1.10896,1.60834,0.84421,0.88819,0.92089,0.52546,1.8469,0.97794,1.89411,0.00048275,0.00048275,0.00048275
64,3360.35,1.56938,1.11112,1.61392,0.87871,0.86715,0.91622,0.55427,1.76029,0.94636,1.81001,0.000470375,0.000470375,0.000470375
65,3411.53,1.54163,1.08966,1.59277,0.87034,0.86198,0.91353,0.56237,1.69992,0.90852,1.7899,0.000458,0.000458,0.000458
66,3463.96,1.52027,1.06682,1.57698,0.89541,0.89535,0.92925,0.5454,1.78618,0.92138,1.82527,0.000445625,0.000445625,0.000445625
67,3516.75,1.5171,1.03911,1.5698,0.90603,0.88133,0.93623,0.56175,1.73743,0.90512,1.80249,0.00043325,0.00043325,0.00043325
68,3567.84,1.51154,1.05013,1.57027,0.89181,0.89346,0.92998,0.54924,1.78327,0.90514,1.83695,0.000420875,0.000420875,0.000420875
69,3619.28,1.48641,1.04285,1.55698,0.83716,0.9145,0.91422,0.56661,1.74765,0.90985,1.78849,0.0004085,0.0004085,0.0004085
70,3671.41,1.47929,1.00917,1.54774,0.86857,0.9249,0.93173,0.57512,1.73989,0.86349,1.81939,0.000396125,0.000396125,0.000396125
71,3723.83,1.45591,1.00595,1.52989,0.89407,0.86743,0.91297,0.57332,1.72222,0.90081,1.81373,0.00038375,0.00038375,0.00038375
72,3776.48,1.47452,1.00727,1.55328,0.89837,0.90755,0.92035,0.56462,1.80331,0.92259,1.85137,0.000371375,0.000371375,0.000371375
73,3828.03,1.44931,0.99059,1.52627,0.8434,0.93964,0.92302,0.56054,1.78357,0.88109,1.82824,0.000359,0.000359,0.000359
74,3879.78,1.43106,0.96332,1.50937,0.88462,0.89014,0.91086,0.57664,1.73383,0.89755,1.81306,0.000346625,0.000346625,0.000346625
75,3932.73,1.44566,0.9735,1.52224,0.86816,0.93303,0.94059,0.57135,1.76583,0.88565,1.79872,0.00033425,0.00033425,0.00033425
76,3984.35,1.42484,0.95471,1.51648,0.88246,0.91117,0.92014,0.59194,1.74853,0.84921,1.80731,0.000321875,0.000321875,0.000321875
77,4038.71,1.42696,0.95743,1.50689,0.88221,0.89252,0.92547,0.56884,1.76659,0.88677,1.81286,0.0003095,0.0003095,0.0003095
78,4090.27,1.37818,0.93565,1.48261,0.88074,0.91103,0.93371,0.59645,1.77995,0.85887,1.86819,0.000297125,0.000297125,0.000297125
79,4147.51,1.37729,0.91963,1.47767,0.90894,0.92307,0.94774,0.59826,1.70955,0.84544,1.8081,0.00028475,0.00028475,0.00028475
80,4201.05,1.37211,0.89536,1.47336,0.88512,0.89282,0.93034,0.62981,1.66155,0.83547,1.75729,0.000272375,0.000272375,0.000272375
81,4258.57,1.35267,0.8965,1.46504,0.88548,0.92446,0.92269,0.60366,1.68763,0.81899,1.78618,0.00026,0.00026,0.00026
82,4317.08,1.33502,0.87068,1.44619,0.89394,0.92682,0.93232,0.60878,1.71228,0.84129,1.78114,0.000247625,0.000247625,0.000247625
83,4369.14,1.32568,0.87055,1.4405,0.87437,0.91739,0.92335,0.5952,1.72524,0.86209,1.80748,0.00023525,0.00023525,0.00023525
84,4421.47,1.3394,0.88163,1.44974,0.85902,0.90592,0.93147,0.59586,1.68798,0.85932,1.75948,0.000222875,0.000222875,0.000222875
85,4473.09,1.31775,0.85506,1.44265,0.8387,0.94435,0.92646,0.59245,1.72669,0.85036,1.80716,0.0002105,0.0002105,0.0002105
86,4524.69,1.31459,0.84989,1.44481,0.85616,0.93198,0.93757,0.60189,1.71837,0.84004,1.79381,0.000198125,0.000198125,0.000198125
87,4581.4,1.31624,0.85588,1.43121,0.85032,0.92184,0.92725,0.60307,1.73773,0.85725,1.82638,0.00018575,0.00018575,0.00018575
88,4632.78,1.2988,0.83988,1.42219,0.86255,0.93907,0.94049,0.62412,1.69538,0.82951,1.80888,0.000173375,0.000173375,0.000173375
89,4685.1,1.27791,0.83782,1.41015,0.87567,0.9276,0.93258,0.61003,1.68638,0.81881,1.80365,0.000161,0.000161,0.000161
90,4736.59,1.28817,0.82979,1.40969,0.89469,0.92455,0.9342,0.62794,1.62149,0.82325,1.75109,0.000148625,0.000148625,0.000148625
